#options: 1280x720 fps=25/1 timebase=1/25 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=0.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:33.76 tex:141651 mv:82698 misc:5619 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:40.67 tex:11785 mv:5153 misc:1158 imb:486 pmb:211 smb:2903 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:40.67 tex:3496 mv:3050 misc:830 imb:106 pmb:192 smb:3302 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:40.67 tex:14 mv:48 misc:474 imb:0 pmb:62 smb:3538 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:40.67 tex:130 mv:87 misc:471 imb:0 pmb:66 smb:3534 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:36.74 tex:34293 mv:14226 misc:2873 imb:550 pmb:1065 smb:1985 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:38.70 tex:8024 mv:3067 misc:1005 imb:132 pmb:252 smb:3216 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:39.69 tex:8564 mv:4977 misc:1139 imb:204 pmb:356 smb:3040 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:37.72 tex:4612 mv:2360 misc:732 imb:50 pmb:193 smb:3357 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:34.98 tex:16967 mv:8929 misc:3256 imb:176 pmb:1105 smb:2319 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:35.86 tex:1237 mv:587 misc:472 imb:14 pmb:68 smb:3518 d:- ref:0 ;
